序号,指标类型1/2/3/4/5,点描述 ,点名,实际值,期望值,D//-D,上上限H,下下限L,触发标签,坏点时间,备用1,备用2,备用3
11,1//4,给水主控,N3DCS.3CCSWTRFLOWMD,,CDATA['N3DCS.3PTMS132X']-8,15,CDATA['N3DCS.3PTMS132X']+5,CDATA['N3DCS.3PTMS132X']-20,CDATA['N3DCS.3BM04614'],,,,1
12,1//4,调门综合开度,N3DCS.TBNMSTO2,,"max(min(CDATA['N3DCS.TBNMSTO2'],98),30)",2.5,98.5 if CDATA['N3DCS.3CCSMSFLOW']<900 else 99,30,CDATA['N3DCS.3BM04614'],,,,1
13,1//4,左侧主汽门反馈,N3DCS.TV1PZMM,,CDATA['N3DCS.TV1SPO'],2,CDATA['N3DCS.TV1SPO']+5,CDATA['N3DCS.TV1SPO']-5,CDATA['N3DCS.3BM04614'],,,,1
14,1//4,右侧主汽门反馈,N3DCS.TV2PZMM,,CDATA['N3DCS.TV2SPO'],2,CDATA['N3DCS.TV2SPO']+5,CDATA['N3DCS.TV2SPO']-5,CDATA['N3DCS.3BM04614'],,,,1
15,1//4,GV1反馈,N3DCS.GV1PZMM,,CDATA['N3DCS.GV1SPO'],"Sfunline(CDATA['N3DCS.GV1SPO'],[0,2,10,3,20,3,30,10,40,35,50,40,60,45,101,50])",102,-1,CDATA['N3DCS.3BM04614'],,,,1
16,1//4,GV2反馈,N3DCS.GV2PZMM,,CDATA['N3DCS.GV2SPO'],"Sfunline(CDATA['N3DCS.GV2SPO'],[0,2,10,3,20,3,30,10,40,35,50,40,60,45,101,50])",102,-1,CDATA['N3DCS.3BM04614'],,,,1
17,1//4,GV3反馈,N3DCS.GV3PZMM,,CDATA['N3DCS.GV3SPO'],"Sfunline(CDATA['N3DCS.GV3SPO'],[0,2,10,3,20,3,30,10,40,35,50,40,60,45,101,50])",102,-1,CDATA['N3DCS.3BM04614'],,,,1
18,1//4,GV4反馈,N3DCS.GV4PZMM,,CDATA['N3DCS.GV4SPO'],"Sfunline(CDATA['N3DCS.GV4SPO'],[0,2,10,3,20,3,30,10,40,35,50,40,60,45,101,50])",102,-1,CDATA['N3DCS.3BM04614'],,,,1
19,1//4,左侧中压调门反馈,N3DCS.IV1PZMM,,CDATA['N3DCS.IV1SPO'],3,CDATA['N3DCS.IV1SPO']+5,CDATA['N3DCS.IV1SPO']-5,CDATA['N3DCS.3BM04614'],,,,1
20,1//4,右侧中压调门反馈,N3DCS.IV2PZMM,,CDATA['N3DCS.IV2SPO'],3,CDATA['N3DCS.IV2SPO']+5,CDATA['N3DCS.IV2SPO']-5,CDATA['N3DCS.3BM04614'],,,,1
21,1//4,左侧主汽门指令,N3DCS.TV1SPO,,,,101,99,CDATA['N3DCS.3BM04614'],,,,1
22,1//4,右侧主汽门指令,N3DCS.TV2SPO,,,,101,99,CDATA['N3DCS.3BM04614'],,,,1
23,1//4,GV1指令,N3DCS.GV1SPO,,,,101,-0.001,CDATA['N3DCS.3BM04614'],,,,1
24,1//4,GV2指令,N3DCS.GV2SPO,,,,101,-0.001,CDATA['N3DCS.3BM04614'],,,,1
25,1//4,GV3指令,N3DCS.GV3SPO,,,,102,10,CDATA['N3DCS.3BM04614'],,,,1
26,1//4,GV4指令,N3DCS.GV4SPO,,,,102,-1,CDATA['N3DCS.3BM04614'],,,,1
27,1//4,左侧中压调门指令,N3DCS.IV1SPO,,,,100,"Sfunline(CDATA['N3DCS.3PYFS404AO'],[-1,99,25,99,30,50,40,17,100,16,105,16])",CDATA['N3DCS.3BM04614'],,,,1
28,1//4,右侧中压调门指令,N3DCS.IV2SPO,,,,100,"Sfunline(CDATA['N3DCS.3PYFS404AO'],[-1,99,25,99,30,50,40,17,100,16,105,16])",CDATA['N3DCS.3BM04614'],,,,1
29,1,负荷高限,N3DCS.HIGHLIM2,,CDATA['N3DCS.HIGHLIM2'],1,378,20,CDATA['N3DCS.3BM04614'],,,,1
30,1,负荷低限,N3DCS.LOWLIM2,,CDATA['N3DCS.LOWLIM2'],1,378,20,CDATA['N3DCS.3BM04614'],,,,1
31,1,油氢差压,N3DCS.3SOH2P,,83,6,95,75,CDATA['N3DCS.3BM04614'],,运行参数,,1
32,1,空侧密封油压,N3DCS.3PTSO100AI,,yc('N3DCS.3PTSO100AI'),0.05+0.2*CDATA['N3DCS.3BM04614'],CDATA['N3DCS.3H2P']/1000+CDATA['N3DCS.3SOH2P']/1000+0.12,CDATA['N3DCS.3H2P']/1000+CDATA['N3DCS.3SOH2P']/1000+0.06,,,,,1
33,1,氢侧密封油压,N3DCS.3PTSO101AI,,yc('N3DCS.3PTSO101AI'),0.15+0.1*CDATA['N3DCS.3BM04614'],CDATA['N3DCS.3H2P']/1000+0.45+CDATA['N3DCS.3BM04614']*0.2,CDATA['N3DCS.3H2P']/1000+0.25,,,,,1
34,1,空氢侧均压阀差压,N3DCS.3PTSO102AI,,,,6,-5,,,,,1
35,1,空氢侧均压阀差压,N3DCS.3PTSO103AI,,0.5,4.5,8,-5,,,,,1
36,1,密封油温,N3DCS.3SOAIRT,,CDATA['N3DCS.3CCSSOAIRSP'],"4+max(CDATA['N3DCS.3TEWC209AI']-28,0)//15",56,20,,,运行参数,,1
37,1//3,空侧密封油泵运行,N3DCS.3ZATOASODI,,,,"Sfunline(CDATA['N3DCS.3PTTO615AI'],[-100,0,9.9,0,10,1,300,1])","Sfunline(CDATA['N3DCS.3PTTO615AI'],[-100,0,9.9,0,10,1,300,1])",CDATA['N3DCS.3BM04614'],,,,1
38,1//3,空侧密封油泵停止,N3DCS.3ZBTOASODI,,,,1-CDATA['N3DCS.3ZATOASODI'],1-CDATA['N3DCS.3ZATOASODI'],CDATA['N3DCS.3BM04614'],,,,1
39,1//3,氢侧密封油泵运行,N3DCS.3ZATOHSODI,,,,"Sfunline(CDATA['N3DCS.3PTTO615AI'],[-100,0,9.9,0,10,1,300,1])","Sfunline(CDATA['N3DCS.3PTTO615AI'],[-100,0,9.9,0,10,1,300,1])",CDATA['N3DCS.3BM04614'],,,,1
40,1//3,氢侧密封油泵停止,N3DCS.3ZBTOHSODI,,,,1-CDATA['N3DCS.3ZATOHSODI'],1-CDATA['N3DCS.3ZATOHSODI'],CDATA['N3DCS.3BM04614'],,,,1
41,1//3,空侧直流密封油泵,N3DCS.3ZATOASOBDI,,,,0,0,CDATA['N3DCS.3BM04614'],,,,1
42,1,高压缸上下缸温差,N3DCS.3HPDGVT,abs(float(CDATA['N3DCS.3HPCGVT']) - float(CDATA['N3DCS.3HPBGVT'])),,,20,-1,CDATA['N3DCS.3BM04614'],,,,1
43,1,调节级金属温差,N3DCS.3INCMDT,abs(float(CDATA['N3DCS.3INCMTC']) - float(CDATA['N3DCS.3INCMTB3'])),,,20,-1,CDATA['N3DCS.3BM04614'],,,,1
44,1,中压缸入口温差,N3DCS.3IPDINT,abs(float(CDATA['N3DCS.3IPCIN']) - float(CDATA['N3DCS.3IPBIN'])),,,20,-1,CDATA['N3DCS.3BM04614'],,,,1
45,1,中压缸排汽温差,N3DCS.3IPDGNT,abs(float(CDATA['N3DCS.3IPCGNT']) - float(CDATA['N3DCS.3IPBGNT'])),,,20,-1,CDATA['N3DCS.3BM04614'],,,,1
46,1,高压缸上缸金属温度,N3DCS.3HPCGVT,,(CDATA['N3DCS.3HPEXHTL1']+CDATA['N3DCS.3HPEXHTR1'])/2,20,370,292,CDATA['N3DCS.3BM04614'],,,,1
47,1,高压缸下缸金属温度,N3DCS.3HPBGVT,,(CDATA['N3DCS.3HPEXHTL1']+CDATA['N3DCS.3HPEXHTR1'])/2,20,370,292,CDATA['N3DCS.3BM04614'],,,,1
48,1,高压缸抽汽口金属温度,N3DCS.3HPBEXT,,yc('N3DCS.3HPBEXT'),60,421,320,CDATA['N3DCS.3BM04614'],,,,1
49,1,调节级金属上温度,N3DCS.3INCMTC,,yc('N3DCS.3INCMTC'),50,505,447,CDATA['N3DCS.3BM04614'],,,,1
50,1,调节级金属下温度,N3DCS.3INCMTB3,,yc('N3DCS.3INCMTB3'),50,506,447,CDATA['N3DCS.3BM04614'],,,,1
51,1,中压缸入口上金属温度,N3DCS.3IPCIN,,yc('N3DCS.3IPCIN'),40,555,450,CDATA['N3DCS.3BM04614'],,,,1
52,1,中压缸入口下金属温度,N3DCS.3IPBIN,,yc('N3DCS.3IPBIN'),40,555,450,CDATA['N3DCS.3BM04614'],,,,1
53,1,中压缸排汽上金属温度,N3DCS.3IPCGNT,,355,60,392,300,CDATA['N3DCS.3BM04614'],,,,1
54,1,中压缸排汽下金属温度,N3DCS.3IPBGNT,,355,60,400,300,CDATA['N3DCS.3BM04614'],,,,1
55,1,EH油压,N3DCS.3PTEH601AI,FILTER//6,"14*min(CDATA['N3DCS.3ZAEHMP2DI']+CDATA['N3DCS.3ZAEHMP1DI'],1)",1.5,15.5,"min(CDATA['N3DCS.3ZAEHMP2DI']+CDATA['N3DCS.3ZAEHMP1DI'],1)*12",,500,标题/运行参数,MPa,1
56,1,OPC油压,N3DCS.3OPCPRESS,,,,14.5,"11*min(CDATA['N3DCS.3ZAEHMP2DI']+CDATA['N3DCS.3ZAEHMP1DI'],1)-1",CDATA['N3DCS.3BM04614'],,运行参数,,1
57,1,A EH油泵运行,N3DCS.3ZAEHMP1DI,,1-CDATA['N3DCS.3ZAEHMP2DI'],0.1,1-CDATA['N3DCS.3ZAEHMP2DI'],(1-CDATA['N3DCS.3ZAEHMP2DI'])*CDATA['N3DCS.3ASL1'],CDATA['N3DCS.3ASL1']==0,,,,1
58,1,B EH油泵运行,N3DCS.3ZAEHMP2DI,,1-CDATA['N3DCS.3ZAEHMP1DI'],0.1,1-CDATA['N3DCS.3ZAEHMP1DI'],(1-CDATA['N3DCS.3ZAEHMP1DI'])*CDATA['N3DCS.3ASL1'],CDATA['N3DCS.3ASL1']==0,,,,1
59,1,EH油温,N3DCS.3EHFLT,,CDATA['N3DCS.3CCSEHOILSP'],6,54,20,,,运行参数,,1
60,1,EH油箱加热器运行,N3DCS.3ZAEHEHRDI,,,,0,0,,,,,1
61,1,主机转速,N3DCS.WS,,CDATA['N3DCS.MWORWS'] if CDATA['N3DCS.3ECSGC001DI']==1 else 3000,50,3010,0 if CDATA['N3DCS.3ECSGC001DI']==1 else 2950,,,,,1
62,1,缸胀,N3DCS.3CASEXP,,,,30,15 if CDATA['N3DCS.3ASL2']==1 else 3,,,,,1
63,1,偏心,N3DCS.3ROTECC,,,,2 if CDATA['N3DCS.3ASL2']==1 else 80,-7,,,,,1
64,1,轴向位移11,N3DCS.3RP11,,,,0.34,-0.2,CDATA['N3DCS.3BM04614'],,,,1
65,1,轴向位移12,N3DCS.3RP12,,,,0.43,-0.2,CDATA['N3DCS.3BM04614'],,,,1
66,1,轴向位移21,N3DCS.3RP21,,,,0.35,-0.2,CDATA['N3DCS.3BM04614'],,,,1
67,1,轴向位移22,N3DCS.3RP22,,,,0.38,-0.2,CDATA['N3DCS.3BM04614'],,,,1
68,1,推力轴承温度1,N3DCS.3TBFLTHI,,,,"55+max(CDATA['N3DCS.3TEWC209AI']-28,0)",44 if CDATA['N3DCS.3ASL2']==1 else 5,,,,,1
69,1,推力轴承温度2,N3DCS.3TBRLTHI,,,,"58+max(CDATA['N3DCS.3TEWC209AI']-28,0)",46 if CDATA['N3DCS.3ASL2']==1 else 5,,,,,1
70,1,推力轴承温度3,N3DCS.3TBFCTHI,,,,"55+max(CDATA['N3DCS.3TEWC209AI']-28,0)",44 if CDATA['N3DCS.3ASL2']==1 else 5,,,,,1
71,1,推力轴承温度4,N3DCS.3TBRCTHI,,,,"68+max(CDATA['N3DCS.3TEWC209AI']-28,0)",53 if CDATA['N3DCS.3ASL2']==1 else 5,,,,,1
72,1,高压胀差,N3DCS.3DEHPIP,,,,10.5,6,,,,,1
73,1,低压胀差,N3DCS.3DEGEN,,,,19 if CDATA['N3DCS.3ASL2']==1 else 30,14,,,,,1
74,1,1轴承温度,N3DCS.3B1THI,,,,86,70 if CDATA['N3DCS.3ASL2']==1 else 5,,,,,1
75,1,2轴承温度,N3DCS.3B2THI,,,,95,75 if CDATA['N3DCS.3ASL2']==1 else 5,,,,,1
76,1,3轴承温度,N3DCS.3B3THI,,,,83,70 if CDATA['N3DCS.3ASL2']==1 else 5,,,,,1
77,1,4轴承温度,N3DCS.3B4THI,,,,78,70 if CDATA['N3DCS.3ASL2']==1 else 5,,,,,1
78,1,5轴承温度,N3DCS.3B5T,,,,57,50 if CDATA['N3DCS.3ASL2']==1 else 5,,,,,1
79,1,6轴承温度,N3DCS.3B6T,,,,58,51 if CDATA['N3DCS.3ASL2']==1 else 5,,,,,1
80,1,7轴承温度,N3DCS.3B7T,,,,69,55 if CDATA['N3DCS.3ASL2']==1 else 5,,,,,1
81,1,1瓦X振动,N3DCS.3VB1XREL,FILTER//5,,,78,"5*max(min(CDATA['N3DCS.WS']-3,1),0)",CDATA['N3DCS.3ASL2']==0,,,,1
82,1,2瓦X振动,N3DCS.3VB2XREL,FILTER//5,,,70,"5*max(min(CDATA['N3DCS.WS']-3,1),0)",CDATA['N3DCS.3ASL2']==0,,,,1
83,1,3瓦X振动,N3DCS.3VB3XREL,FILTER//5,,,115,"5*max(min(CDATA['N3DCS.WS']-3,1),0)",CDATA['N3DCS.3ASL2']==0,,,,1
84,1,4瓦X振动,N3DCS.3VB4XREL,FILTER//5,,,50,"5*max(min(CDATA['N3DCS.WS']-3,1),0)",CDATA['N3DCS.3ASL2']==0,,,,1
85,1,5瓦X振动,N3DCS.3VB5XREL,FILTER//5,,,50,"5*max(min(CDATA['N3DCS.WS']-3,1),0)",CDATA['N3DCS.3ASL2']==0,,,,1
86,1,6瓦X振动,N3DCS.3VB6XREL,FILTER//5,,,80,"5*max(min(CDATA['N3DCS.WS']-3,1),0)",CDATA['N3DCS.3ASL2']==0,,,,1
87,1,7瓦X振动,N3DCS.3VB7XREL,FILTER//5,,,80,"5*max(min(CDATA['N3DCS.WS']-3,1),0)",CDATA['N3DCS.3ASL2']==0,,,,1
88,1,1瓦Y振动,N3DCS.3VB1YREL,FILTER//5,,,60,"5*max(min(CDATA['N3DCS.WS']-3,1),0)",CDATA['N3DCS.3ASL2']==0,,,,1
89,1,2瓦Y振动,N3DCS.3VB2YREL,FILTER//5,,,80,"5*max(min(CDATA['N3DCS.WS']-3,1),0)",CDATA['N3DCS.3ASL2']==0,,,,1
90,1,3瓦Y振动,N3DCS.3VB3YREL,FILTER//5,,,115,"5*max(min(CDATA['N3DCS.WS']-3,1),0)",CDATA['N3DCS.3ASL2']==0,,,,1
91,1,4瓦Y振动,N3DCS.3VB4YREL,FILTER//5,,,70,"5*max(min(CDATA['N3DCS.WS']-3,1),0)",CDATA['N3DCS.3ASL2']==0,,,,1
92,1,5瓦Y振动,N3DCS.3VB5YREL,FILTER//5,,,60,"5*max(min(CDATA['N3DCS.WS']-3,1),0)",CDATA['N3DCS.3ASL2']==0,,,,1
93,1,6瓦Y振动,N3DCS.3VB6YREL,FILTER//5,,,90,"5*max(min(CDATA['N3DCS.WS']-3,1),0)",CDATA['N3DCS.3ASL2']==0,,,,1
94,1,7瓦Y振动,N3DCS.3VB7YREL,FILTER//5,,,120,"5*max(min(CDATA['N3DCS.WS']-3,1),0)",CDATA['N3DCS.3ASL2']==0,,,,1
95,1,1瓦振动绝对值,N3DCS.3VB1YABS,FILTER//5,,,50,"5*max(min(CDATA['N3DCS.WS']-3,1),0)",CDATA['N3DCS.3ASL2']==0,,,,1
96,1,2瓦振动绝对值,N3DCS.3VB2YABS,FILTER//5,,,40,"5*max(min(CDATA['N3DCS.WS']-3,1),0)",CDATA['N3DCS.3ASL2']==0,,,,1
97,1,3瓦振动绝对值,N3DCS.3VB3YABS,FILTER//5,,,50,"5*max(min(CDATA['N3DCS.WS']-3,1),0)",CDATA['N3DCS.3ASL2']==0,,,,1
98,1,4瓦振动绝对值,N3DCS.3VB4YABS,FILTER//5,,,40,"5*max(min(CDATA['N3DCS.WS']-3,1),0)",CDATA['N3DCS.3ASL2']==0,,,,1
99,1,5瓦振动绝对值,N3DCS.3VB5YABS,FILTER//5,,,100,"5*max(min(CDATA['N3DCS.WS']-3,1),0)",CDATA['N3DCS.3ASL2']==0,,,,1
100,1,6瓦振动绝对值,N3DCS.3VB6YABS,FILTER//5,,,100,"5*max(min(CDATA['N3DCS.WS']-3,1),0)",CDATA['N3DCS.3ASL2']==0,,,,1
101,1,7瓦振动绝对值,N3DCS.3VB7YABS,FILTER//5,,,70,"5*max(min(CDATA['N3DCS.WS']-3,1),0)",CDATA['N3DCS.3ASL2']==0,,,,1
102,1,中压缸一级金属温度1,N3DCS.3IPBDT1,,,,527,(CDATA['N3DCS.3IPILT1']+CDATA['N3DCS.3IPIRT1'])/2-60,,,,,1
103,1,中压缸一级金属温度2,N3DCS.3IPBDT2,,,,527,(CDATA['N3DCS.3IPILT1']+CDATA['N3DCS.3IPIRT1'])/2-61,,,,,1
104,1,中压缸一级金属温度3,N3DCS.3IPBDT3,,,,527,(CDATA['N3DCS.3IPILT1']+CDATA['N3DCS.3IPIRT1'])/2-62,,,,,1
105,1,左侧中压缸进气温度,N3DCS.3IPILT1,,CDATA['N3DCS.3TEHR117AI']+5,10,570,480,CDATA['N3DCS.3BM04614'],,,,1
106,1,右侧中压缸进气温度,N3DCS.3IPIRT1,,CDATA['N3DCS.3TEHR108AI']+2,10,565,475,CDATA['N3DCS.3BM04614'],,,,1
107,1,调节级金属温度,N3DCS.3INCMTB1,,CDATA['N3DCS.3FSSTMAX'],50,515,400,CDATA['N3DCS.3BM04614'],,,,1
108,1,调节级蒸汽温度最大值,N3DCS.3FSSTMAX,"np.max([CDATA['N3DCS.3FSST1'],CDATA['N3DCS.3FSST2'],CDATA['N3DCS.3FSST3']])",,,CDATA['N3DCS.3TEMS102S']-30,CDATA['N3DCS.3TEMS102S']-100,CDATA['N3DCS.3BM04614'],,,,1
109,1,TV1前主汽温度,N3DCS.3TV1T,,CDATA['N3DCS.3TEMS103AI'],20,555,400,CDATA['N3DCS.3BM04614'],,,,1
110,1,TV2前主汽温度,N3DCS.3TV2T,,CDATA['N3DCS.3TEMS106AI'],20,555,400,CDATA['N3DCS.3BM04614'],,,,1
111,1,左侧调门蒸汽室内壁温度,N3DCS.3SCDLT,,CDATA['N3DCS.3TV1T'],20,555,400,,,,,1
112,1,左侧调门蒸汽室外壁温度,N3DCS.3SCSLT,,CDATA['N3DCS.3TV1T']-10,30,550,400,,,,,1
113,1,左侧调门蒸汽室内外壁温差,N3DCS.3MSLDIF,CDATA['N3DCS.3SCDLT'] - CDATA['N3DCS.3SCSLT'],,,10,-10,,,,,1
114,1,右侧调门蒸汽室内壁温度,N3DCS.3SCDRT,,CDATA['N3DCS.3TV2T'],20,555,400,,,,,1
115,1,右侧调门蒸汽室外壁温度,N3DCS.3SCSRT,,CDATA['N3DCS.3TV2T']-10,30,550,400,,,,,1
116,1,右侧调门蒸汽室内外壁温差,N3DCS.3MSRDIF,CDATA['N3DCS.3SCDRT']-CDATA['N3DCS.3SCSRT'],,,10,-10,,,,,1
117,1,左侧高压缸排汽温度,N3DCS.3HPEXHTL1,,,,368,290,,,运行参数,,1
118,1,右侧高压缸排汽温度,N3DCS.3HPEXHTR1,,,,365,290,,,,,1
119,1,中压缸排汽温度,N3DCS.3IPEXT1,,,,398,310,,,运行参数,,1
120,1,低压缸（机侧）排汽温度,N3DCS.3LP1GVT,,,,"Sfunline(CDATA['N3DCS.3CCSMSFLOW'],[-10,50,100,50,200,49,300,48,400,45,1160,45])",18,,,,,1
121,1,低压缸（励侧）排汽温度,N3DCS.3LP1GNT,,,,"Sfunline(CDATA['N3DCS.3CCSMSFLOW'],[-10,50,100,55,200,53,300,48.5,400,45,1160,45])",18,,,,,1
122,2,真空1,N3DCS.3PTCD306AI,,"Sfunline(CDATA['N3DCS.3CCSMSFLOW'],[-10,5,50,2,300,2.5,400,2.5,700,3.2,1160,4])+Sfunline(CDATA['N3DCS.3TECW237AI'],[-10,-1,0,0,10,0.5,15,1,20,1.5,25,2])",1.5,7.2 if CDATA['N3DCS.3ZODT001DI']==0 else 103,0.5,,,标题,Kpa,1
123,2,真空2,N3DCS.3PTCD307AII,,"Sfunline(CDATA['N3DCS.3CCSMSFLOW'],[-10,5,50,2,300,2.5,400,2.5,700,3.2,1160,4])+Sfunline(CDATA['N3DCS.3TECW237AI'],[-10,-1,0,0,10,0.5,15,1,20,1.5,25,2])",1.5,7.2 if CDATA['N3DCS.3ZODT001DI']==0 else 103,-1,,,,,1
124,2,真空3,N3DCS.3CNDP1,,"Sfunline(CDATA['N3DCS.3CCSMSFLOW'],[-10,5,50,2,300,2.5,400,2.5,700,3.2,1160,4])+Sfunline(CDATA['N3DCS.3TECW237AI'],[-10,-1,0,0,10,0.5,15,1,20,1.5,25,2])",1.5,7.2 if CDATA['N3DCS.3ZODT001DI']==0 else 103,0.5,,,,,1
125,1//3,A真空泵运行,N3DCS.3ZACA02CADI,,,,CDATA['N3DCS.3ZCDT001DI'],1-CDATA['N3DCS.3ZACA02CBDI'],CDATA['N3DCS.3ZODT001DI']==1,,,,1
126,1//3,B真空泵运行,N3DCS.3ZACA02CBDI,,,,CDATA['N3DCS.3ZCDT001DI'],1-CDATA['N3DCS.3ZACA02CADI'],CDATA['N3DCS.3ZODT001DI']==1,,,,1
127,1,真空破坏阀开节点,N3DCS.3ZODT001DI,,"min(max(400-CDATA['N3DCS.WS'],0),1)",0.001,1,0,,,,,1
128,1,真空破坏阀关节点,N3DCS.3ZCDT001DI,,,,1-CDATA['N3DCS.3ZODT001DI'],1-CDATA['N3DCS.3ZODT001DI'],,,,,1
129,1,凝汽器A侧阳离子导电度,N3DCS.3ATPS035AI,FILTER//60,0.25,0.1//0.2,0.4,0.1,CDATA['N3DCS.3BM04614'],,,,1
130,1,凝汽器B侧阳离子导电度,N3DCS.3ATPS036AI,FILTER//60,0.25,0.1//0.2,0.4,0.1,CDATA['N3DCS.3BM04614'],,,,1
131,1,凝汽器总阳离子导电度,N3DCS.3ATPS001AI,FILTER//60,0.25,0.1//0.2,0.4,0.1,1 if CDATA['N3DCS.3ATPS035AI']>0.35 or CDATA['N3DCS.3ATPS036AI']>0.35 else 0,,,,1
132,1,给水阳离子导电度,N3DCS.3ATPS009AI,FILTER//60,0.25,0.1//0.2,0.6,0.1,1 if CDATA['N3DCS.3ATPS001AI']>0.35 else 0,,,,1
133,1,省煤器入口阳离子导电度,N3DCS.3ATPS012AI,FILTER//60,0.3,0.15//0.2,0.55,0.1,1 if CDATA['N3DCS.3ATPS009AI']>0.35 else 0,,,,1
134,1,供热疏水回收导电度,N3DCS.3NAAEX01AI,FILTER//60,0.3,0.2//0.25,"Sfunline(CDATA['N3DCS.3NAAEXFT02AI']+CDATA['N3DCS.3NAAEXFT03AI'],[-10000,20,49.9,20,50,0.55,500,0.55])","Sfunline(CDATA['N3DCS.3NAAEXFT02AI']+CDATA['N3DCS.3NAAEXFT03AI'],[-10000,-20,49.9,-20,50,0,500,0])",0 if CDATA['N3DCS.3NAAEXFT02AI']+CDATA['N3DCS.3NAAEXFT03AI']>20 else 1,,,,1
135,1,饱和蒸汽阳离子导电度,N3DCS.3ATPS019AI,FILTER//60,0.3,0.2//0.25,0.6,0.1,1 if CDATA['N3DCS.3ATPS012AI']>0.45 else 0,,,,1
136,1,主蒸汽阳离子导电度,N3DCS.3ATPS023AI,FILTER//60,0.3,0.15//0.2,0.5,0.1,1 if CDATA['N3DCS.3ATPS019AI']>0.5 else 0,,,,1
137,1,导电度均值,N3DCS.3ATPSAVG,(np.sum(MID['SAMPLING'])-np.max(MID['SAMPLING'])-np.min(MID['SAMPLING']))/(len(MID['SAMPLING'])-2),0.25,0.08//0.15,0.35,0.1,CDATA['N3DCS.3BM04614'],,标题，运行参数,ppm,1
138,1,除氧器溶氧,N3DCS.3ATPS010AI,FILTER//60,,,5,0.1,CDATA['N3DCS.3BM04614'],,,,1
139,1,供热抽汽压力1,N3DCS.3NAAEXPT01AI,,"round(yc('N3DCS.3NAAEXPT01AI'),3)",0.3//0.3,0.9,0.1,CDATA['N3DCS.3BM04614'],,运行参数,,1
140,1,供热抽汽压力2,N3DCS.3NAAEXPT02AI,,"round(yc('N3DCS.3NAAEXPT01AI'),3)",0.3//0.3,0.9,0.1,CDATA['N3DCS.3BM04614'],,运行参数,,1
141,1,供热抽汽温度1,N3DCS.3NAAEXTE01AI,,,,399,300,CDATA['N3DCS.3BM04614'],,运行参数,,1
142,1,供热快开阀油压,N3DCS.3NAAFVPT01AI,,CDATA['N3DCS.3NAAFVPT01AI'],1,16.1,11*CDATA['N3DCS.3NAACVOD01DI'],,,,,1
143,1,供热抽汽流量,N3DCS.3HEATFLOW,CDATA['N3DCS.3NAAEXFT02AI']*1+CDATA['N3DCS.3NAAEXFT03AI'],"AVG('GR.DQ_AI05.CH06.PV',300)",50//50,350,CDATA['N3DCS.3NAACVOD01DI']*10-1,,,运行参数,,1
